time , r , theta , vr , vtheta , ar  , atheta
156.20033,2.0,50.534122,0.0,0.35357088,-0.0,-2.411008E-6
156.30034,2.0,50.56948,0.0,0.35356894,-0.0,-1.7493963E-6
156.40034,2.0,50.60484,0.0,0.35356972,-0.0,-1.5556813E-6
156.50035,2.0,50.640194,0.0,0.3535575,-0.0,-1.6331672E-6
156.60036,2.0,50.67555,0.0,0.35354647,-0.0,-4.1127205E-7
156.70036,2.0,50.710903,0.0,0.35356274,-0.0,6.914139E-7
156.80037,2.0,50.746258,0.0,0.35355276,-0.0,-9.357929E-7
156.90038,2.0,50.781612,0.0,0.35355684,-0.0,6.258488E-8
157.00038,2.0,50.816967,0.0,0.35355788,-0.0,-3.4570695E-7
157.10039,2.0,50.85232,0.0,0.35356414,-0.0,-4.5001508E-7
157.2004,2.0,50.887676,0.0,0.35355553,-0.0,-1.0758639E-6
157.3004,2.0,50.92303,0.0,0.3535553,-0.0,-2.1457673E-7
157.4004,2.0,50.95839,0.0,0.35357565,-0.0,-1.9073487E-7
157.50041,2.0,50.993748,0.0,0.35356978,-0.0,-2.2262336E-6
157.60042,2.0,51.029106,0.0,0.3535908,-0.0,-1.6391277E-6
157.70042,2.0,51.064465,0.0,0.35358006,-0.0,-3.7401915E-6
157.80043,2.0,51.099827,0.0,0.35360834,-0.0,-2.6673079E-6
157.90044,2.0,51.13519,0.0,0.3536105,-0.0,-5.4955485E-6
158.00044,2.0,51.17055,0.0,0.35360348,-0.0,-5.710125E-6
158.10045,2.0,51.205914,0.0,0.3536116,-0.0,-5.0097706E-6
158.20045,2.0,51.241276,0.0,0.35360378,-0.0,-5.8203937E-6
158.30046,2.0,51.276634,0.0,0.35360113,-0.0,-5.039573E-6
158.40047,2.0,51.311996,0.0,0.3536036,-0.0,-4.774332E-6
158.50047,2.0,51.347355,0.0,0.35359773,-0.0,-5.0216913E-6
158.60048,2.0,51.382713,0.0,0.35358387,-0.0,-4.4345857E-6
158.70049,2.0,51.41807,0.0,0.3535929,-0.0,-3.0487777E-6
158.80049,2.0,51.45343,0.0,0.35358602,-0.0,-3.951788E-6
158.9005,2.0,51.48879,0.0,0.35359332,-0.0,-3.2633543E-6
159.0005,2.0,51.524147,0.0,0.3535843,-0.0,-3.993511E-6
159.10051,2.0,51.559505,0.0,0.35358715,-0.0,-3.090501E-6
159.20052,2.0,51.594864,0.0,0.35357216,-0.0,-3.3766032E-6
159.30052,2.0,51.63022,0.0,0.35356203,-0.0,-1.8775463E-6
159.40053,2.0,51.665573,0.0,0.35356504,-0.0,-8.6426735E-7
159.50053,2.0,51.700928,0.0,0.35354623,-0.0,-1.1652709E-6
159.60054,2.0,51.736282,0.0,0.3535282,-0.0,7.1525574E-7
159.70055,2.0,51.771637,0.0,0.35353503,-0.0,2.5182962E-6
159.80055,2.0,51.80699,0.0,0.3535425,-0.0,1.8358231E-6
159.90056,2.0,51.842346,0.0,0.35354897,-0.0,1.0877848E-6
160.00056,2.0,51.8777,0.0,0.35355303,-0.0,4.4107438E-7
160.10057,2.0,51.913055,0.0,0.35355234,-0.0,3.576279E-8
160.20058,2.0,51.948414,0.0,0.35356838,-0.0,1.0430813E-7
160.30058,2.0,51.983772,0.0,0.35356897,-0.0,-1.4990568E-6
160.40059,2.0,52.019127,0.0,0.35354832,-0.0,-1.5586614E-6
160.5006,2.0,52.05448,0.0,0.35354555,-0.0,5.066395E-7
160.6006,2.0,52.089832,0.0,0.35352135,-0.0,7.838011E-7
160.7006,2.0,52.125183,0.0,0.3535073,-0.0,3.2037497E-6
160.80061,2.0,52.160534,0.0,0.3535221,-0.0,4.607439E-6
160.90062,2.0,52.195885,0.0,0.3535139,-0.0,3.1292439E-6
161.00063,2.0,52.231236,0.0,0.35350695,-0.0,3.9488077E-6
161.10063,2.0,52.266586,0.0,0.35352063,-0.0,4.643202E-6
161.20064,2.0,52.301937,0.0,0.35351095,-0.0,3.2752753E-6
161.30064,2.0,52.337288,0.0,0.3535105,-0.0,4.243851E-6
161.40065,2.0,52.37264,0.0,0.35352415,-0.0,4.2885545E-6
161.50066,2.0,52.407993,0.0,0.3535314,-0.0,2.9236078E-6
161.60066,2.0,52.443348,0.0,0.35353836,-0.0,2.1994115E-6
161.70067,2.0,52.478703,0.0,0.35354376,-0.0,1.5020371E-6
161.80067,2.0,52.514057,0.0,0.3535443,-0.0,9.62615E-7
161.90068,2.0,52.54941,0.0,0.35356075,-0.0,9.0897083E-7
162.00069,2.0,52.584766,0.0,0.35354584,-0.0,-7.361174E-7
162.1007,2.0,52.62012,0.0,0.35356396,-0.0,7.539988E-7
162.2007,2.0,52.65548,0.0,0.35356647,-0.0,-1.0579824E-6
162.3007,2.0,52.690834,0.0,0.35355425,-0.0,-1.308322E-6
162.40071,2.0,52.72619,0.0,0.35354573,-0.0,-8.642674E-8
162.50072,2.0,52.761543,0.0,0.35355392,-0.0,7.659197E-7
162.60072,2.0,52.796898,0.0,0.35355246,-0.0,-5.3644182E-8
162.70073,2.0,52.832253,0.0,0.35354525,-0.0,9.2387204E-8
162.80074,2.0,52.867607,0.0,0.35354874,-0.0,8.1360344E-7
162.90074,2.0,52.90296,0.0,0.35355884,-0.0,4.6491624E-7
163.00075,2.0,52.938316,0.0,0.35355276,-0.0,-5.4538253E-7
163.10075,2.0,52.97367,0.0,0.35355693,-0.0,6.258488E-8
163.20076,2.0,53.009026,0.0,0.35356012,-0.0,-3.5464765E-7
163.30077,2.0,53.04438,0.0,0.35356435,-0.0,-6.735325E-7
163.40077,2.0,53.07974,0.0,0.3535773,-0.0,-1.0967254E-6
163.50078,2.0,53.115097,0.0,0.35357878,-0.0,-2.3901464E-6
163.60078,2.0,53.150455,0.0,0.35357806,-0.0,-2.539158E-6
163.70079,2.0,53.185814,0.0,0.35357636,-0.0,-2.4676324E-6
163.8008,2.0,53.221172,0.0,0.3535881,-0.0,-2.297759E-6
163.9008,2.0,53.25653,0.0,0.353602,-0.0,-3.4719706E-6
164.00081,2.0,53.291893,0.0,0.35360354,-0.0,-4.860759E-6
164.10081,2.0,53.327255,0.0,0.3536136,-0.0,-5.015731E-6
164.20082,2.0,53.362617,0.0,0.3536147,-0.0,-6.020069E-6
164.30083,2.0,53.39798,0.0,0.3536178,-0.0,-6.1303376E-6
